teste,execucao,tempo_ms
1,1,25521,440
1,2,26923,987
1,3,28570,406
1,4,28748,328
1,5,28582,837
1,6,28386,428
1,7,27998,861
1,8,29005,231
1,9,28347,316
1,10,28234,967
1,media,28031,980
2,1,27833,321
2,2,27652,435
2,3,34270,261
2,4,29030,100
2,5,28141,816
2,6,28052,780
2,7,28309,323
2,8,27666,055
2,9,28809,040
2,10,28837,284
2,media,28860,241
3,1,28527,684
3,2,27696,766
3,3,27853,898
3,4,27947,970
3,5,28547,830
3,6,27941,642
3,7,27665,635
3,8,29292,728
3,9,29213,157
3,10,28413,076
3,media,28310,039
4,1,28671,
